lineName,direction,component,vehicle_count,start_time,end_time,duration,result_type
M2503,1.0,"BS04146D,BS38888D",2,2019-01-04 14:00:10,2019-01-04 14:03:12,182.0,FN
M2503,1.0,"BS06418D,BS33373D",2,2019-01-04 15:04:30,2019-01-04 15:09:00,270.0,FN
M2503,1.0,"BS06418D,BS09575D",2,2019-01-04 15:32:37,2019-01-04 15:35:41,184.0,TP
M2503,1.0,"BS06418D,BS09575D",2,2019-01-04 15:52:12,2019-01-04 15:55:43,211.0,TP
M2503,1.0,"BS06880D,BS39961D",2,2019-01-04 18:16:07,2019-01-04 18:19:42,215.0,FP
M2503,1.0,"BS04146D,BS07043D",2,2019-01-04 18:56:31,2019-01-04 19:11:33,902.0,TP
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 08:56:19,2019-01-04 09:07:44,685.0,FP
M2503,2.0,"BS08735D,BS09269D",2,2019-01-04 18:48:26,2019-01-04 18:55:43,437.0,FP
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 19:16:31,2019-01-04 19:51:49,2118.0,TP
M2503,2.0,"BS38816D,BS38888D",2,2019-01-04 20:48:09,2019-01-04 20:55:55,466.0,TP
M2503,2.0,"BS38816D,BS38888D",2,2019-01-04 21:08:19,2019-01-04 21:19:41,682.0,TP
M3353,1.0,"BS30321D,BS31509D",2,2019-01-04 09:04:44,2019-01-04 09:11:41,417.0,TP
M3353,1.0,"BS30321D,BS31509D",2,2019-01-04 09:28:03,2019-01-04 09:31:31,208.0,TP
M3353,1.0,"BS03377D,BS34603D,BS45211D",3,2019-01-04 09:32:22,2019-01-04 09:35:47,205.0,TP
M3353,1.0,"BS09053D,BS09075D",2,2019-01-04 09:32:38,2019-01-04 09:39:51,433.0,TP
M3353,1.0,"BS30321D,BS31509D",2,2019-01-04 09:36:20,2019-01-04 09:39:45,205.0,FP
M3353,1.0,"BS09945D,BS36216D,BS42639D",3,2019-01-04 09:40:25,2019-01-04 09:43:39,194.0,TP
M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04 09:44:36,2019-01-04 10:11:21,1605.0,TP
M3353,1.0,"BS03377D,BS34603D",2,2019-01-04 09:52:41,2019-01-04 09:55:41,180.0,TP
M3353,1.0,"BS36216D,BS42639D",2,2019-01-04 09:56:25,2019-01-04 09:59:25,180.0,TP
M3353,1.0,"BS08761D,BS08968D,BS34643D",3,2019-01-04 10:04:22,2019-01-04 10:11:44,442.0,TP
M3353,1.0,"BS09218D,BS09298D",2,2019-01-04 10:12:12,2019-01-04 10:35:44,1412.0,TP
M3353,1.0,"BS08761D,BS09075D",2,2019-01-04 10:34:30,2019-01-04 10:37:30,180.0,FN
M3353,1.0,"BS09691D,BS36242D,BS36258D",3,2019-01-04 10:40:26,2019-01-04 10:43:38,192.0,TP
M3353,1.0,"BS08968D,BS09075D,BS09298D",3,2019-01-04 10:48:22,2019-01-04 10:51:26,184.0,TP
M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04 10:56:18,2019-01-04 11:03:36,438.0,TP
M3353,1.0,"BS08968D,BS09075D,BS09218D,BS09298D",4,2019-01-04 11:04:30,2019-01-04 11:09:00,270.0,FN
M3353,1.0,"BS08968D,BS09075D,BS09298D",3,2019-01-04 11:08:26,2019-01-04 11:11:44,198.0,TP
M3353,1.0,"BS09053D,BS09218D",2,2019-01-04 11:16:30,2019-01-04 11:19:30,180.0,FN
M3353,1.0,"BS09590D,BS42653D",2,2019-01-04 11:20:12,2019-01-04 11:31:36,684.0,TP
M3353,1.0,"BS09590D,BS42653D",2,2019-01-04 11:36:06,2019-01-04 11:43:55,469.0,TP
M3353,1.0,"BS09075D,BS09298D,BS09691D,BS09945D,BS36258D",5,2019-01-04 14:12:00,2019-01-04 14:15:00,180.0,FN
M3353,1.0,"BS08968D,BS34643D",2,2019-01-04 14:32:21,2019-01-04 14:39:31,430.0,TP
M3353,1.0,"BS08968D,BS34643D",2,2019-01-04 14:44:09,2019-01-04 14:47:47,218.0,FP
M3353,1.0,"BS08968D,BS34643D",2,2019-01-04 15:20:17,2019-01-04 15:35:18,901.0,TP
M3353,1.0,"BS09945D,BS36242D,BS36258D",3,2019-01-04 16:04:11,2019-01-04 16:07:24,193.0,FN
M3353,1.0,"BS09691D,BS36263D",2,2019-01-04 16:08:05,2019-01-04 16:11:40,215.0,TP
M3353,1.0,"BS09590D,BS30452D",2,2019-01-04 16:16:16,2019-01-04 16:19:41,205.0,FP
