method,lineName,direction,component,vehicle_count,start_time,end_time,duration,label
oa_mbr,M2333,2.0,"SZBDL447,SZBDL603",2,2019-01-04T20:40:30.000+08:00,2019-01-04T20:55:40.000+08:00,910.0,1
oa_mbr,M2503,1.0,"BS36521D,BS38816D",2,2019-01-04T08:04:17.000+08:00,2019-01-04T08:15:58.000+08:00,701.0,1
oa_mbr,M2503,1.0,"BS36521D,BS38816D",2,2019-01-04T08:24:44.000+08:00,2019-01-04T08:31:47.000+08:00,423.0,1
oa_mbr,M2503,1.0,"BS06418D,BS09575D",2,2019-01-04T15:32:37.000+08:00,2019-01-04T15:35:41.000+08:00,184.0,1
oa_mbr,M2503,1.0,"BS06418D,BS09575D",2,2019-01-04T15:52:12.000+08:00,2019-01-04T15:55:43.000+08:00,211.0,1
oa_mbr,M2503,1.0,"BS06880D,BS39961D",2,2019-01-04T18:16:07.000+08:00,2019-01-04T18:19:42.000+08:00,215.0,1
oa_mbr,M2503,1.0,"BS04146D,BS07043D",2,2019-01-04T18:56:31.000+08:00,2019-01-04T19:11:33.000+08:00,902.0,1
oa_mbr,M2503,2.0,"BS09588D,BS31808D",2,2019-01-04T08:56:19.000+08:00,2019-01-04T09:07:44.000+08:00,685.0,1
oa_mbr,M2503,2.0,"BS08735D,BS09269D",2,2019-01-04T18:48:26.000+08:00,2019-01-04T18:55:43.000+08:00,437.0,1
oa_mbr,M2503,2.0,"BS09588D,BS31808D",2,2019-01-04T19:16:31.000+08:00,2019-01-04T19:51:49.000+08:00,2118.0,1
oa_mbr,M2503,2.0,"BS38816D,BS38888D",2,2019-01-04T20:48:09.000+08:00,2019-01-04T20:55:55.000+08:00,466.0,1
oa_mbr,M2503,2.0,"BS38816D,BS38888D",2,2019-01-04T21:08:19.000+08:00,2019-01-04T21:19:41.000+08:00,682.0,1
oa_mbr,M3353,1.0,"BS30321D,BS31509D",2,2019-01-04T09:04:44.000+08:00,2019-01-04T09:11:41.000+08:00,417.0,1
oa_mbr,M3353,1.0,"BS30321D,BS31509D",2,2019-01-04T09:28:03.000+08:00,2019-01-04T09:31:31.000+08:00,208.0,1
oa_mbr,M3353,1.0,"BS03377D,BS34603D,BS45211D",3,2019-01-04T09:32:22.000+08:00,2019-01-04T09:35:47.000+08:00,205.0,1
oa_mbr,M3353,1.0,"BS09053D,BS09075D",2,2019-01-04T09:32:38.000+08:00,2019-01-04T09:39:51.000+08:00,433.0,1
oa_mbr,M3353,1.0,"BS30321D,BS31509D",2,2019-01-04T09:36:20.000+08:00,2019-01-04T09:39:45.000+08:00,205.0,1
oa_mbr,M3353,1.0,"BS09945D,BS36216D,BS42639D",3,2019-01-04T09:40:25.000+08:00,2019-01-04T09:43:39.000+08:00,194.0,1
oa_mbr,M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04T09:44:36.000+08:00,2019-01-04T10:11:21.000+08:00,1605.0,1
oa_mbr,M3353,1.0,"BS03377D,BS34603D",2,2019-01-04T09:52:41.000+08:00,2019-01-04T09:55:41.000+08:00,180.0,1
