lineName,direction,component,vehicle_count,start_time,end_time,duration,label
M2333,1.0,"BS00077D,BS04358D",2,2019-01-04 06:28:06,2019-01-04 06:28:42,36.0,0
M2333,1.0,"BS00077D,BS01899D",2,2019-01-04 07:48:06,2019-01-04 07:51:56,230.0,1
M2333,1.0,"BS00077D,BS01899D",2,2019-01-04 08:08:07,2019-01-04 08:27:56,1189.0,1
M2333,1.0,"BS01841D,BS06103D",2,2019-01-04 08:16:50,2019-01-04 08:17:53,63.0,0
M2333,1.0,"BS01841D,BS06103D",2,2019-01-04 08:48:03,2019-01-04 08:55:40,457.0,1
M2333,1.0,"BS04785D,BS35658D",2,2019-01-04 08:56:09,2019-01-04 08:59:09,180.0,0
M2333,1.0,"BS01899D,BS07325D",2,2019-01-04 09:00:18,2019-01-04 09:03:38,200.0,1
M2333,1.0,"BS00077D,BS01899D",2,2019-01-04 09:04:30,2019-01-04 09:12:00,450.0,1
M2333,1.0,"SZBDL470,SZBDL607",2,2019-01-04 09:06:35,2019-01-04 09:07:55,80.0,0
M2333,1.0,"BS00077D,BS01899D,BS07325D",3,2019-01-04 09:12:28,2019-01-04 09:23:18,650.0,1
M2333,1.0,"BS00077D,BS01899D,BS07325D",3,2019-01-04 09:16:58,2019-01-04 09:17:44,46.0,0
M2333,1.0,"BS01841D,BS06103D",2,2019-01-04 09:25:37,2019-01-04 09:26:07,30.0,0
M2333,1.0,"BS00077D,BS07325D",2,2019-01-04 09:28:08,2019-01-04 09:31:55,227.0,1
M2333,1.0,"BS00077D,BS02656D",2,2019-01-04 09:28:36,2019-01-04 09:30:00,84.0,0
M2333,1.0,"BS00406D,BS06103D",2,2019-01-04 09:33:26,2019-01-04 09:34:13,47.0,0
M2333,1.0,"BS00406D,BS01841D",2,2019-01-04 09:36:07,2019-01-04 09:39:56,229.0,1
M2333,1.0,"BS35658D,BS45160D",2,2019-01-04 09:40:04,2019-01-04 09:47:51,467.0,1
M2333,1.0,"BS00406D,BS01841D",2,2019-01-04 09:44:16,2019-01-04 09:45:17,61.0,0
M2333,1.0,"SZBDL622,SZBDL631",2,2019-01-04 10:12:48,2019-01-04 10:13:13,25.0,0
M2333,1.0,"BS04785D,BS35658D",2,2019-01-04 10:16:09,2019-01-04 10:19:51,222.0,1
M2333,1.0,"BS04785D,BS35658D",2,2019-01-04 10:16:11,2019-01-04 10:16:31,20.0,0
M2333,1.0,"SZBDL622,SZBDL631",2,2019-01-04 10:16:33,2019-01-04 10:35:53,1160.0,1
M2333,1.0,"BS03383D,BS04317D",2,2019-01-04 10:28:03,2019-01-04 10:31:51,228.0,1
M2333,1.0,"BS45016D,BS48818D",2,2019-01-04 11:44:08,2019-01-04 11:55:55,707.0,0
M2333,1.0,"BS08748D,SZBDL542",2,2019-01-04 11:48:46,2019-01-04 11:51:14,148.0,0
M2333,1.0,"BS45016D,BS48818D",2,2019-01-04 12:00:08,2019-01-04 12:27:55,1667.0,1
M2333,1.0,"BS45016D,BS48818D",2,2019-01-04 12:21:28,2019-01-04 12:21:55,27.0,0
M2333,1.0,"BS45016D,BS48818D",2,2019-01-04 12:28:58,2019-01-04 12:29:55,57.0,0
M2333,1.0,"BS04392D,BS09813D,BS48818D",3,2019-01-04 12:44:07,2019-01-04 12:47:55,228.0,1
M2333,1.0,"BS04392D,BS48818D",2,2019-01-04 12:55:25,2019-01-04 12:55:38,13.0,0
M2333,1.0,"BS04392D,BS09813D,BS48818D",3,2019-01-04 13:04:37,2019-01-04 13:05:12,35.0,0
M2333,1.0,"BS08175D,SZBDL631",2,2019-01-04 14:06:58,2019-01-04 14:07:48,50.0,0
M2333,1.0,"BS01841D,BS06066D",2,2019-01-04 14:16:06,2019-01-04 14:19:55,229.0,1
M2333,1.0,"BS01839D,BS01841D",2,2019-01-04 15:44:00,2019-01-04 15:51:50,470.0,1
M2333,1.0,"BS00077D,BS08748D",2,2019-01-04 17:52:16,2019-01-04 18:03:46,690.0,1
M2333,1.0,"BS00077D,BS08748D",2,2019-01-04 18:16:32,2019-01-04 18:39:52,1400.0,1
M2333,1.0,"BS00077D,BS08748D",2,2019-01-04 18:34:02,2019-01-04 18:35:26,84.0,0
M2333,1.0,"BS06103D,BS48818D",2,2019-01-04 18:48:05,2019-01-04 19:11:51,1426.0,1
M2333,1.0,"BS35658D,BS45160D",2,2019-01-04 18:59:31,2019-01-04 18:59:54,23.0,0
M2333,1.0,"BS06103D,BS48818D",2,2019-01-04 19:09:41,2019-01-04 19:10:26,45.0,0
M2333,1.0,"BS00406D,BS45160D",2,2019-01-04 19:12:05,2019-01-04 19:27:35,930.0,1
M2333,1.0,"BS00406D,BS45160D",2,2019-01-04 19:12:15,2019-01-04 19:12:41,26.0,0
M2333,1.0,"BS00406D,BS45160D",2,2019-01-04 19:16:25,2019-01-04 19:17:01,36.0,0
M2333,1.0,"BS04392D,BS48818D",2,2019-01-04 19:24:05,2019-01-04 19:27:25,200.0,1
M2333,1.0,"BS35658D,BS45160D",2,2019-01-04 19:28:41,2019-01-04 19:31:51,190.0,0
M2333,1.0,"BS04392D,BS48818D",2,2019-01-04 19:32:35,2019-01-04 19:35:35,180.0,1
M2333,1.0,"BS00406D,BS35658D",2,2019-01-04 19:32:55,2019-01-04 19:33:53,58.0,0
M2333,1.0,"BS35658D,BS45160D",2,2019-01-04 19:42:45,2019-01-04 19:43:13,28.0,0
M2333,1.0,"BS35658D,BS45160D",2,2019-01-04 19:44:03,2019-01-04 19:51:03,420.0,1
M2333,1.0,"BS00406D,BS45160D",2,2019-01-04 19:56:05,2019-01-04 20:03:55,470.0,1
M2333,1.0,"BS30937D,SZBDL542",2,2019-01-04 20:24:06,2019-01-04 20:27:47,221.0,0
M2333,1.0,"SZBDL457,SZBDL497",2,2019-01-04 22:25:42,2019-01-04 22:26:45,63.0,0
M2333,2.0,"BS01605D,BS08175D",2,2019-01-04 07:37:57,2019-01-04 07:38:57,60.0,0
M2333,2.0,"BS01605D,BS08175D",2,2019-01-04 07:48:05,2019-01-04 07:59:51,706.0,1
M2333,2.0,"BS08748D,BS30937D",2,2019-01-04 08:00:14,2019-01-04 08:03:54,220.0,0
M2333,2.0,"BS01605D,BS08175D",2,2019-01-04 08:36:03,2019-01-04 08:39:41,218.0,1
M2333,2.0,"BS45016D,BS48818D",2,2019-01-04 08:36:05,2019-01-04 08:39:53,228.0,1
M2333,2.0,"BS01605D,BS08175D",2,2019-01-04 08:37:41,2019-01-04 08:37:58,17.0,0
M2333,2.0,"BS08123D,BS08748D,BS30937D",3,2019-01-04 08:40:40,2019-01-04 08:43:50,190.0,1
M2333,2.0,"BS45016D,BS48818D",2,2019-01-04 08:52:09,2019-01-04 08:59:50,461.0,1
M2333,2.0,"BS05620D,SZBDL497",2,2019-01-04 08:56:00,2019-01-04 08:58:33,153.0,0
M2333,2.0,"BS45016D,BS48818D",2,2019-01-04 09:04:30,2019-01-04 09:05:43,73.0,0
M2333,2.0,"BS08748D,BS30937D",2,2019-01-04 09:08:46,2019-01-04 09:43:10,2064.0,1
M2333,2.0,"BS00652D,BS04358D",2,2019-01-04 09:22:14,2019-01-04 09:23:32,78.0,0
M2333,2.0,"BS45016D,BS48818D",2,2019-01-04 09:32:03,2019-01-04 09:39:50,467.0,1
M2333,2.0,"BS45016D,BS48818D",2,2019-01-04 09:32:30,2019-01-04 09:33:03,33.0,0
M2333,2.0,"BS00652D,BS04358D",2,2019-01-04 09:36:04,2019-01-04 09:43:54,470.0,1
M2333,2.0,"BS08748D,BS30937D",2,2019-01-04 09:52:06,2019-01-04 09:59:24,438.0,1
M2333,2.0,"BS00027D,BS00652D",2,2019-01-04 10:24:34,2019-01-04 10:31:46,432.0,1
M2333,2.0,"BS04785D,BS45160D",2,2019-01-04 11:56:09,2019-01-04 12:19:24,1395.0,1
M2333,2.0,"BS03383D,BS07977D",2,2019-01-04 11:56:48,2019-01-04 11:57:11,23.0,0
M2333,2.0,"BS00406D,BS06787D",2,2019-01-04 12:16:06,2019-01-04 12:19:52,226.0,1
M2333,2.0,"BS04785D,BS45160D",2,2019-01-04 12:22:29,2019-01-04 12:23:24,55.0,0
M2333,2.0,"BS01839D,BS06103D",2,2019-01-04 12:49:59,2019-01-04 12:51:23,84.0,0
M2333,2.0,"BS48818D,SZBDL542",2,2019-01-04 13:22:30,2019-01-04 13:25:30,180.0,1
M2333,2.0,"BS04392D,BS48818D",2,2019-01-04 15:07:05,2019-01-04 15:07:55,50.0,0
M2333,2.0,"BS04392D,BS48818D",2,2019-01-04 15:24:05,2019-01-04 15:27:55,230.0,1
M2333,2.0,"BS00652D,BS48818D",2,2019-01-04 15:48:05,2019-01-04 15:55:54,469.0,1
M2333,2.0,"BS07977D,SZBDL607",2,2019-01-04 17:32:05,2019-01-04 17:35:51,226.0,0
M2333,2.0,"BS01605D,BS06787D",2,2019-01-04 17:44:22,2019-01-04 17:47:51,209.0,1
M2333,2.0,"BS01605D,BS06787D",2,2019-01-04 17:57:21,2019-01-04 17:58:02,41.0,0
M2333,2.0,"BS04317D,BS07325D",2,2019-01-04 17:58:16,2019-01-04 17:59:32,76.0,0
M2333,2.0,"BS01605D,BS06787D",2,2019-01-04 18:08:32,2019-01-04 18:11:41,189.0,1
M2333,2.0,"BS30937D,SZBDL542",2,2019-01-04 18:16:16,2019-01-04 18:19:36,200.0,1
M2333,2.0,"BS30937D,SZBDL542",2,2019-01-04 18:24:36,2019-01-04 18:31:56,440.0,1
M2333,2.0,"BS01839D,SZBDL607",2,2019-01-04 18:53:50,2019-01-04 18:55:35,105.0,0
M2333,2.0,"BS01839D,SZBDL607",2,2019-01-04 19:00:15,2019-01-04 19:31:50,1895.0,1
M2333,2.0,"BS01839D,SZBDL607",2,2019-01-04 19:06:50,2019-01-04 19:07:16,26.0,0
M2333,2.0,"BS01839D,BS07977D,SZBDL607",3,2019-01-04 19:24:45,2019-01-04 19:31:50,425.0,1
M2333,2.0,"BS01839D,BS07977D",2,2019-01-04 19:27:06,2019-01-04 19:27:51,45.0,0
M2333,2.0,"BS01839D,BS07977D,SZBDL607",3,2019-01-04 19:37:00,2019-01-04 19:37:41,41.0,0
M2333,2.0,"SZBDL447,SZBDL603",2,2019-01-04 20:37:50,2019-01-04 20:38:40,50.0,0
M2333,2.0,"BS00406D,BS45160D",2,2019-01-04 22:06:35,2019-01-04 22:08:41,126.0,0
M2333,2.0,"BS00406D,BS45160D",2,2019-01-04 22:08:05,2019-01-04 22:23:39,934.0,1
M2503,1.0,"BS09588D,BS31808D",2,2019-01-04 07:48:04,2019-01-04 07:51:46,222.0,1
M2503,1.0,"BS36521D,BS38816D",2,2019-01-04 08:04:14,2019-01-04 08:19:07,893.0,1
M2503,1.0,"BS04146D,BS07043D",2,2019-01-04 09:04:01,2019-01-04 09:07:57,236.0,0
M2503,1.0,"BS04146D,BS39961D",2,2019-01-04 09:25:29,2019-01-04 09:27:49,140.0,0
M2503,1.0,"BS04146D,BS07043D,BS07137D",3,2019-01-04 09:36:14,2019-01-04 09:38:38,144.0,0
M2503,1.0,"BS07069D,BS07137D",2,2019-01-04 10:09:00,2019-01-04 10:12:00,180.0,1
M2503,1.0,"BS06458D,BS07069D,BS08628D",3,2019-01-04 10:40:26,2019-01-04 10:43:59,213.0,0
M2503,1.0,"BS09147D,BS09588D",2,2019-01-04 11:36:09,2019-01-04 11:47:45,696.0,1
M2503,1.0,"BS38888D,BS39961D",2,2019-01-04 13:52:30,2019-01-04 13:55:35,185.0,1
M2503,1.0,"BS06418D,BS09575D",2,2019-01-04 15:32:13,2019-01-04 15:35:48,215.0,1
M2503,1.0,"BS06418D,BS09575D",2,2019-01-04 15:52:10,2019-01-04 15:55:44,214.0,1
M2503,1.0,"BS07118D,BS07860D",2,2019-01-04 17:56:37,2019-01-04 17:59:41,184.0,0
M2503,1.0,"BS09588D,BS31808D",2,2019-01-04 18:00:03,2019-01-04 18:07:46,463.0,1
M2503,1.0,"BS06880D,BS39961D",2,2019-01-04 18:24:12,2019-01-04 18:39:49,937.0,1
M2503,1.0,"BS06880D,BS39961D",2,2019-01-04 18:32:36,2019-01-04 18:33:27,51.0,0
M2503,1.0,"BS06880D,BS39961D",2,2019-01-04 18:38:08,2019-01-04 18:39:13,65.0,0
M2503,1.0,"BS04146D,BS07043D",2,2019-01-04 18:56:25,2019-01-04 19:11:46,921.0,1
M2503,1.0,"BS06880D,BS39961D",2,2019-01-04 18:56:29,2019-01-04 19:03:49,440.0,0
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 08:56:12,2019-01-04 08:57:11,59.0,0
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 14:45:07,2019-01-04 14:46:29,82.0,0
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 19:16:27,2019-01-04 19:51:52,2125.0,1
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 19:16:43,2019-01-04 19:17:20,37.0,0
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 19:21:03,2019-01-04 19:22:39,96.0,0
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 19:27:26,2019-01-04 19:27:49,23.0,0
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 19:33:58,2019-01-04 19:34:31,33.0,0
M2503,2.0,"BS09588D,BS31808D",2,2019-01-04 19:38:10,2019-01-04 19:38:35,25.0,0
