method,lineName,direction,component,vehicle_count,start_time,end_time,duration,label
oa_mbr,M2333,2.0,"BS07977D,SZBDL607",2,2019-01-04T19:24:51.000+08:00,2019-01-04T19:31:41.000+08:00,410.0,1
oa_mbr,M2333,2.0,"BS01839D,BS07977D",2,2019-01-04T19:28:01.000+08:00,2019-01-04T19:31:41.000+08:00,220.0,1
oa_mbr,M2333,2.0,"BS00406D,BS45160D",2,2019-01-04T22:08:05.000+08:00,2019-01-04T22:23:33.000+08:00,928.0,1
oa_mbr,M2503,1.0,"BS09588D,BS31808D",2,2019-01-04T07:48:15.000+08:00,2019-01-04T07:51:44.000+08:00,209.0,1
oa_mbr,M2503,1.0,"BS36521D,BS38816D",2,2019-01-04T08:04:17.000+08:00,2019-01-04T08:15:58.000+08:00,701.0,1
oa_mbr,M2503,1.0,"BS09147D,BS09588D",2,2019-01-04T11:40:07.000+08:00,2019-01-04T11:43:27.000+08:00,200.0,1
oa_mbr,M2503,1.0,"BS06418D,BS09575D",2,2019-01-04T15:32:37.000+08:00,2019-01-04T15:35:41.000+08:00,184.0,1
oa_mbr,M2503,1.0,"BS06418D,BS09575D",2,2019-01-04T15:52:12.000+08:00,2019-01-04T15:55:43.000+08:00,211.0,1
oa_mbr,M2503,1.0,"BS09588D,BS31808D",2,2019-01-04T18:00:15.000+08:00,2019-01-04T18:07:44.000+08:00,449.0,1
oa_mbr,M2503,1.0,"BS06880D,BS39961D",2,2019-01-04T18:24:25.000+08:00,2019-01-04T18:39:45.000+08:00,920.0,1
oa_mbr,M2503,1.0,"BS04146D,BS07043D",2,2019-01-04T18:56:31.000+08:00,2019-01-04T19:11:33.000+08:00,902.0,1
oa_mbr,M2503,1.0,"BS06880D,BS39961D",2,2019-01-04T18:56:37.000+08:00,2019-01-04T19:03:39.000+08:00,422.0,1
oa_mbr,M2503,2.0,"BS09588D,BS31808D",2,2019-01-04T19:16:31.000+08:00,2019-01-04T19:51:49.000+08:00,2118.0,1
oa_mbr,M2503,2.0,"BS38816D,BS38888D",2,2019-01-04T21:08:19.000+08:00,2019-01-04T21:19:41.000+08:00,682.0,1
oa_mbr,M3353,1.0,"BS30321D,BS31509D",2,2019-01-04T09:04:44.000+08:00,2019-01-04T09:11:41.000+08:00,417.0,1
oa_mbr,M3353,1.0,"BS39179D,BS47985D",2,2019-01-04T09:08:15.000+08:00,2019-01-04T09:11:42.000+08:00,207.0,1
oa_mbr,M3353,1.0,"BS30452D,BS34147D",2,2019-01-04T09:20:43.000+08:00,2019-01-04T09:23:43.000+08:00,180.0,1
oa_mbr,M3353,1.0,"BS03377D,BS34603D,BS45211D",3,2019-01-04T09:24:41.000+08:00,2019-01-04T09:27:46.000+08:00,185.0,1
oa_mbr,M3353,1.0,"BS30321D,BS31509D",2,2019-01-04T09:28:03.000+08:00,2019-01-04T09:31:31.000+08:00,208.0,1
oa_mbr,M3353,1.0,"BS09053D,BS09075D",2,2019-01-04T09:32:38.000+08:00,2019-01-04T09:39:51.000+08:00,433.0,1
oa_mbr,M3353,1.0,"BS03377D,BS34603D",2,2019-01-04T09:52:41.000+08:00,2019-01-04T09:55:41.000+08:00,180.0,1
oa_mbr,M3353,1.0,"BS08761D,BS08968D,BS34643D",3,2019-01-04T10:04:22.000+08:00,2019-01-04T10:11:44.000+08:00,442.0,1
oa_mbr,M3353,1.0,"BS09218D,BS09298D",2,2019-01-04T10:12:12.000+08:00,2019-01-04T10:35:44.000+08:00,1412.0,1
oa_mbr,M3353,1.0,"BS30452D,BS34147D",2,2019-01-04T10:28:40.000+08:00,2019-01-04T10:31:42.000+08:00,182.0,1
oa_mbr,M3353,1.0,"BS08761D,BS08968D,BS09075D",3,2019-01-04T10:44:22.000+08:00,2019-01-04T10:51:43.000+08:00,441.0,1
oa_mbr,M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04T10:56:18.000+08:00,2019-01-04T11:03:36.000+08:00,438.0,1
oa_mbr,M3353,1.0,"BS09075D,BS09298D",2,2019-01-04T11:00:21.000+08:00,2019-01-04T11:03:43.000+08:00,202.0,1
oa_mbr,M3353,1.0,"BS08761D,BS34643D",2,2019-01-04T11:16:09.000+08:00,2019-01-04T11:19:46.000+08:00,217.0,1
oa_mbr,M3353,1.0,"BS09053D,BS09218D",2,2019-01-04T11:16:31.000+08:00,2019-01-04T11:19:56.000+08:00,205.0,1
oa_mbr,M3353,1.0,"BS08968D,BS09053D,BS09075D",3,2019-01-04T11:20:21.000+08:00,2019-01-04T11:23:43.000+08:00,202.0,1
oa_mbr,M3353,1.0,"BS09590D,BS42653D",2,2019-01-04T11:36:06.000+08:00,2019-01-04T11:43:55.000+08:00,469.0,1
oa_mbr,M3353,1.0,"BS34147D,BS49143D",2,2019-01-04T14:32:30.000+08:00,2019-01-04T14:35:36.000+08:00,186.0,1
oa_mbr,M3353,1.0,"BS03377D,BS45211D",2,2019-01-04T14:52:35.000+08:00,2019-01-04T14:55:54.000+08:00,199.0,1
oa_mbr,M3353,1.0,"BS03377D,BS45211D",2,2019-01-04T15:08:02.000+08:00,2019-01-04T15:11:37.000+08:00,215.0,1
oa_mbr,M3353,1.0,"BS08968D,BS34643D",2,2019-01-04T15:20:17.000+08:00,2019-01-04T15:35:18.000+08:00,901.0,1
oa_mbr,M3353,1.0,"BS09075D,BS09218D",2,2019-01-04T15:36:16.000+08:00,2019-01-04T15:43:44.000+08:00,448.0,1
oa_mbr,M3353,1.0,"BS09945D,BS36242D",2,2019-01-04T15:52:49.000+08:00,2019-01-04T15:59:34.000+08:00,405.0,1
oa_mbr,M3353,1.0,"BS09691D,BS36263D",2,2019-01-04T16:08:05.000+08:00,2019-01-04T16:11:40.000+08:00,215.0,1
oa_mbr,M3353,1.0,"BS30452D,BS42653D",2,2019-01-04T16:40:12.000+08:00,2019-01-04T16:51:15.000+08:00,663.0,1
oa_mbr,M3353,1.0,"BS03377D,BS45211D",2,2019-01-04T18:36:16.000+08:00,2019-01-04T18:51:47.000+08:00,931.0,1
oa_mbr,M3353,1.0,"BS03377D,BS45211D",2,2019-01-04T19:08:29.000+08:00,2019-01-04T19:11:53.000+08:00,204.0,1
oa_mbr,M3353,1.0,"BS09390D,BS30452D",2,2019-01-04T19:32:17.000+08:00,2019-01-04T19:35:45.000+08:00,208.0,1
oa_mbr,M3353,2.0,"BS09590D,BS42672D",2,2019-01-04T08:56:17.000+08:00,2019-01-04T09:07:36.000+08:00,679.0,1
oa_mbr,M3353,2.0,"BS09590D,BS42672D",2,2019-01-04T09:24:36.000+08:00,2019-01-04T09:31:42.000+08:00,426.0,1
oa_mbr,M3353,2.0,"BS30321D,BS34147D",2,2019-01-04T12:08:12.000+08:00,2019-01-04T12:19:48.000+08:00,696.0,1
oa_mbr,M3353,2.0,"BS03377D,BS45211D",2,2019-01-04T12:24:01.000+08:00,2019-01-04T12:27:44.000+08:00,223.0,1
oa_mbr,M3353,2.0,"BS09390D,BS36258D",2,2019-01-04T13:44:26.000+08:00,2019-01-04T13:47:41.000+08:00,195.0,1
oa_mbr,M3353,2.0,"BS09691D,BS36258D",2,2019-01-04T14:00:41.000+08:00,2019-01-04T14:03:56.000+08:00,195.0,1
oa_mbr,M3353,2.0,"BS30321D,BS34147D",2,2019-01-04T15:28:14.000+08:00,2019-01-04T15:31:55.000+08:00,221.0,1
oa_mbr,M3353,2.0,"BS09390D,BS36206D",2,2019-01-04T17:32:11.000+08:00,2019-01-04T17:35:41.000+08:00,210.0,1
oa_mbr,M3353,2.0,"BS36242D,BS36258D",2,2019-01-04T17:44:19.000+08:00,2019-01-04T17:47:41.000+08:00,202.0,1
